class,year,elevation,eastness,northness,roughness,dew_temp,precip_annual,temp_annual_mean,temp_annual_min,temp_annual_max,temp_january_min,vapor_min,vapor_max,county,longitude,latitude
Yes,2015,1122,60,-79,50,-0.67,494,7.17,-6.75,12.44,1.89,221,1173,ferry,-118.785264,48.159036
Yes,2015,1310,-3,99,85,-0.38,746,7.15,-4.57,12.05,2.25,247,990,asotin,-117.322602,46.133592
Yes,2015,841,-60,-79,68,4.61,2374,8.4,-0.88,12.92,3.89,65,767,cowlitz,-122.418594,46.35084
Yes,2015,92,72,-69,26,6.82,2454,10.5,1.84,15.49,5.51,25,791,grays_harbor,-123.587454,47.136682
Yes,2015,996,-97,23,54,0.96,1753,6.28,-4.23,12.32,0.25,24,1066,skamania,-121.541104,46.379145
Yes,2015,1131,-24,-97,68,0.21,1424,5.72,-5.69,11.23,0.21,74,1013,yakima,-121.273906,46.901399
Yes,2015,105,57,81,39,6.2,1683,9.62,2.27,13.38,5.87,36,605,clallam,-124.044151,48.162956
Yes,2015,349,0,99,85,6.6,3302,9.88,1.36,14.58,5.18,30,671,clallam,-124.194905,47.909481
Yes,2015,522,-70,71,148,5.61,3425,9.75,1.9,13.93,5.57,90,732,jefferson,-123.961547,47.822346
Yes,2015,1132,28,95,52,-0.27,608,6.57,-7.14,11.98,1.16,178,1095,ferry,-118.487722,48.346993
No,2016,50,-99,-8,15,6.82,798,10.44,1.82,15.05,5.83,30,765,island,-122.390077,48.076599
No,2015,381,-98,18,31,2.64,347,10.77,-2.67,17.45,4.09,176,1646,whitman,-118.097739,46.758843
Yes,2015,1282,22,97,55,-1.54,3002,5.89,-3.7,10.21,1.57,176,790,skagit,-121.342097,48.304512
Yes,2015,448,-51,-85,45,6.09,3347,9.84,1.8,14.12,5.57,57,692,pacific,-123.673135,46.54661
No,2015,638,-50,86,14,1.47,316,8.68,-4.71,15.03,2.33,138,1378,lincoln,-118.338546,47.362357
No,2015,552,-54,-83,17,1.81,297,9.31,-4.21,15.88,2.74,137,1466,adams,-118.307511,47.031729
No,2015,571,-68,72,15,1.68,285,9.19,-4.38,15.8,2.57,136,1463,adams,-118.482818,47.062634
No,2015,508,9,-99,20,2.63,409,10.36,-2.96,16.15,4.57,204,1419,walla_walla,-118.873362,46.024838
No,2015,400,17,-98,7,3.17,367,11.17,-2.11,17.25,5.09,220,1560,walla_walla,-118.409182,46.41911
No,2015,373,70,70,1,1.89,202,10.46,-4.34,16.56,4.37,256,1575,grant,-119.89882,47.14152
No,2015,342,70,-70,1,2.49,227,10.37,-3.49,16.93,3.8,172,1580,franklin,-118.955968,46.673653
No,2015,2,-100,0,1,7.01,804,10.5,2.07,14.9,6.09,32,724,skagit,-122.461025,48.396999
Yes,2015,66,-94,31,15,7.13,2913,10.35,2.13,14.9,5.8,21,680,grays_harbor,-124.018545,47.428285
Yes,2015,71,88,-47,27,6.26,2808,10.61,1.5,15.69,5.54,41,927,mason,-123.316656,47.325616
Yes,2015,114,1,-99,15,6.38,1978,10.63,1.42,15.85,5.4,31,937,mason,-123.242575,47.230946
Yes,2015,1066,91,40,81,0.06,819,5.32,-7.94,11.7,-1.07,50,1005,pend_oreille,-117.069789,48.71202
Yes,2015,98,14,-98,11,6.77,3093,9.94,1.43,14.46,5.42,22,656,grays_harbor,-124.026632,47.274594
Yes,2015,169,83,55,47,6.57,2782,9.87,1.5,14.36,5.39,27,666,grays_harbor,-123.971132,47.130778
Yes,2015,985,-76,-64,129,1.52,2627,6.83,-3.33,11.68,1.98,112,843,skamania,-121.799237,45.871825
Yes,2015,950,99,-6,26,-0.21,1242,7.33,-5.48,12.73,1.93,163,1118,chelan,-120.764744,47.898369
Yes,2015,750,78,61,47,2.62,2658,7.49,-2.25,12.26,2.72,76,900,king,-121.525163,47.31165
Yes,2015,36,41,-91,41,7.1,2079,10.81,1.87,16.12,5.49,16,831,grays_harbor,-123.451815,47.04032
No,2015,46,97,-24,2,6.6,1605,10.69,1.48,16.02,5.38,26,947,thurston,-123.031141,46.915275
Yes,2015,1106,77,63,58,-0.13,894,4.95,-8.13,11.43,-1.53,46,982,pend_oreille,-117.068825,48.574806
Yes,2015,57,-88,-46,21,6.72,1246,11.61,1.46,16.94,6.28,61,1089,clark,-122.661796,45.922886
No,2015,188,-72,-68,18,5.66,1555,10.67,0.46,16.12,5.21,60,1068,clark,-122.477571,45.80458
No,2015,351,-92,-38,7,2.11,223,10.19,-4.05,16.63,3.76,193,1544,grant,-119.006186,46.999916
Yes,2015,918,47,-87,138,3.02,2452,7.59,-1.4,12.15,3.04,78,776,skamania,-122.223316,46.320421
Yes,2015,296,-37,-92,82,5.98,1735,10.3,0.96,15.67,4.93,39,981,grays_harbor,-123.188692,46.846869
Yes,2015,197,-65,75,60,5.81,1947,10.27,0.61,15.92,4.61,29,989,grays_harbor,-123.382158,46.882186
Yes,2015,52,9,-99,30,6.9,2370,10.46,1.95,15.38,5.55,24,761,grays_harbor,-123.725188,46.834608
No,2015,664,85,51,6,0.44,286,8.67,-6.13,14.87,2.47,192,1417,douglas,-119.293981,47.842527
No,2015,1619,-21,-97,193,-2.89,2503,3.75,-5.51,7.82,-0.32,155,652,skagit,-121.184878,48.356187
No,2015,88,-99,12,19,6.82,889,10.64,2.03,14.93,6.35,51,734,island,-122.385539,47.910233
No,2015,55,85,51,9,6.63,1191,11.55,1.43,16.89,6.22,64,1082,clark,-122.61839,45.749155
Yes,2015,540,40,91,107,5.01,1824,9.93,1.01,14.49,5.37,95,873,jefferson,-123.026531,47.674261
Yes,2015,222,93,-34,84,6.02,1646,10.17,0.66,15.55,4.79,27,938,lewis,-123.307104,46.534873
Yes,2015,195,5,99,25,5.86,3086,9.68,1.16,14.73,4.63,30,763,pacific,-123.810528,46.446283
Yes,2015,43,-28,95,15,7.57,2657,10.94,2.77,15.36,6.51,31,736,pacific,-123.80749900000001,46.297855
No,2015,14,77,62,27,6.98,1005,11.63,2.48,16.01,7.26,94,922,king,-122.291475,47.569788
Yes,2015,29,-95,30,65,6.7,1255,11.34,1.85,16.4,6.28,64,996,cowlitz,-122.871621,46.096231
Yes,2016,206,-98,-19,5,5.94,1696,10.48,0.55,16.21,4.74,27,1045,lewis,-122.629346,46.612499
Yes,2015,10,-97,24,12,7.09,1049,11.89,2.72,16.23,7.56,104,949,king,-122.221394,47.426202
No,2015,39,-89,44,2,6.97,1136,11.46,2.04,16.21,6.72,59,940,king,-122.215177,47.277931
No,2015,132,-97,-22,4,6.54,1081,10.73,1.3,15.74,5.72,33,944,pierce,-122.372205,47.131333
Yes,2015,102,-49,-86,55,5.86,2271,9.82,0.79,15.25,4.39,20,849,pacific,-123.526168,46.633593
Yes,2015,189,11,99,16,6.16,2683,10.35,1.26,15.53,5.18,36,913,pacific,-123.445088,46.439162
Yes,2015,64,-98,-18,27,6.6,1307,11.04,1.35,16.67,5.41,28,1055,lewis,-122.927115,46.433594
Yes,2015,187,-81,57,15,5.87,1541,10.4,0.74,16.05,4.75,32,1019,cowlitz,-123.098125,46.387921
No,2015,395,96,27,12,0.95,305,9.91,-5.26,16.21,3.62,238,1629,okanogan,-119.364813,48.177234
Yes,2015,34,68,-72,43,6.98,2802,9.74,3.62,12.53,6.95,39,442,clallam,-124.63211,48.365969
Yes,2015,122,-70,70,10,6.67,2894,10.16,2.35,14.47,5.84,25,700,clallam,-124.575712,48.192123
Yes,2015,989,52,-85,181,1.42,3908,6.54,-1.82,10.39,2.7,70,609,skagit,-121.798102,48.603869
Yes,2015,1032,53,-84,21,-1.76,421,6.67,-7.4,12.01,1.34,242,1176,okanogan,-119.391048,48.485112
Yes,2015,98,-82,56,7,6.71,3111,10.2,1.66,14.88,5.53,26,726,grays_harbor,-123.832452,47.327901
Yes,2015,1232,-31,-94,20,-0.06,977,5.3,-7.29,10.39,0.22,132,898,pend_oreille,-117.27373299999999,48.911085
No,2015,655,98,-14,6,1.31,314,8.4,-5.21,14.83,1.98,119,1363,lincoln,-118.554318,47.554762
Yes,2015,1137,99,-9,54,-0.44,456,6.73,-6.87,11.75,1.7,209,1061,okanogan,-118.863456,48.309501
Yes,2015,954,45,88,22,3.36,2727,6.91,-1.62,10.92,2.9,62,621,cowlitz,-122.394615,46.270724
Yes,2015,148,-100,0,15,6.37,1980,10.76,1.36,15.71,5.8,49,908,mason,-123.080322,47.430979
No,2015,1,-94,-31,1,7.08,1676,10.81,2.1,15.57,6.06,38,806,wahkiakum,-123.409914,46.176051
Yes,2015,220,-99,3,43,6.65,2993,9.9,1.61,14.45,5.35,22,691,clallam,-124.368685,48.088567
Yes,2015,86,76,64,35,6.61,2118,9.75,2.66,13.44,6.05,30,572,clallam,-124.25757,48.217139
Yes,2015,1043,92,38,110,3.8,4016,7.76,-0.42,11.91,3.62,88,646,clallam,-123.988879,47.972407
No,2015,1256,70,-70,33,-2.14,431,4.86,-9.35,10.67,-0.94,149,995,okanogan,-119.099677,48.993172
Yes,2015,24,-94,31,2,6.87,2798,10.23,3,14.18,6.28,30,648,clallam,-124.549282,48.014887
Yes,2015,337,4,99,25,4.97,2244,9.67,0.57,14.09,5.24,66,864,snohomish,-121.632801,47.813689
No,2015,317,93,-34,8,1.73,322,10.04,-4.63,16.35,3.74,200,1571,okanogan,-119.41732,48.809383
Yes,2015,639,52,84,123,4.62,2580,8.96,-0.87,13.65,4.28,75,847,cowlitz,-122.527502,46.141589
Yes,2015,542,90,42,33,4.92,1874,9.28,-0.29,14.55,4,54,950,lewis,-122.260943,46.492107
Yes,2015,58,-82,57,56,6.7,2821,10.2,2.24,14.75,5.65,22,728,clallam,-124.476639,47.919553
Yes,2015,1512,99,-7,136,-0.6,2192,4.8,-5.86,9.33,0.26,91,740,chelan,-121.094769,47.880704
No,2015,675,16,98,54,0.83,211,9.09,-4.92,15.71,2.47,224,1479,yakima,-120.143314,46.481224
No,2015,625,5,-99,5,1.89,284,8.68,-4.9,14.64,2.73,153,1269,kittitas,-120.5989,47.1021
Yes,2015,141,-53,84,4,6.75,3132,10.05,1.7,14.65,5.46,19,686,jefferson,-124.072422,47.588635
No,2015,717,-38,-92,11,1.72,489,8.65,-3.97,14.96,2.35,110,1324,whitman,-117.265516,47.243464
Yes,2015,461,31,95,52,6.01,1569,10.05,1.13,14.96,5.14,45,912,thurston,-122.644937,46.780535
Yes,2015,1111,40,91,114,3.41,2075,7.03,-1.53,10.97,3.09,77,597,lewis,-122.071757,46.441994
Yes,2015,1046,-38,-92,145,2.28,2344,7.38,-1.45,11.71,3.06,123,779,skamania,-122.031068,46.293843
No,2015,777,31,94,1,1.51,558,8.41,-3.77,14.67,2.14,112,1292,whitman,-117.086439,47.131218
Yes,2015,732,89,-43,27,1.56,671,8.21,-4.76,14.26,2.17,118,1269,spokane,-117.136986,47.794073
No,2015,97,63,-77,6,6.29,912,10.42,1.4,15.26,5.57,42,841,jefferson,-122.714915,47.867544
Yes,2017,1135,-79,60,107,2.17,3497,6.27,-2.49,10.3,2.23,97,632,jefferson,-123.380929,47.662359
Yes,2016,670,30,-95,117,3.56,3905,8.43,-0.12,12.85,4.01,96,774,mason,-123.178824,47.544998
Yes,2015,491,9,-99,91,4.55,4082,9.51,0.59,14.06,4.96,94,838,mason,-123.329278,47.47817
Yes,2016,1232,-61,-78,148,3.31,4896,8.09,-0.38,12.24,3.94,108,722,jefferson,-123.529233,47.528855
No,2015,599,95,28,58,2.27,455,10.39,-2.26,16.11,4.67,225,1436,garfield,-117.714238,46.449945
No,2015,390,-94,31,7,2.54,310,10.65,-2.94,17.25,4.05,186,1644,franklin,-118.261563,46.704359
Yes,2015,333,-13,-99,65,5.85,2891,9.53,1.05,14.09,4.98,43,729,wahkiakum,-123.449022,46.354272
Yes,2015,554,-66,75,129,5.76,3774,9.39,1.46,13.41,5.38,83,642,jefferson,-124.109538,47.742271
No,2015,868,3,99,27,0.56,316,7.84,-5.78,14.13,1.55,142,1303,kittitas,-120.201711,46.804282
Yes,2015,1078,-99,5,95,0.52,814,6.88,-4.96,12.07,1.69,157,1049,kittitas,-120.654501,47.23786
No,2015,228,-37,-92,3,2.71,194,11.76,-3.11,18.12,5.4,305,1802,grant,-119.831863,46.664682
No,2015,5,-24,-97,5,6.71,1044,10.49,1.26,14.91,6.07,39,763,whatcom,-122.55856,48.875816
No,2015,5,98,17,65,7.06,899,10.55,2.47,14.05,7.05,54,633,whatcom,-122.700919,48.73955
Yes,2015,602,98,-14,70,5.37,2230,9.46,-0.07,13.97,4.95,68,810,cowlitz,-122.692176,46.07956
Yes,2015,162,46,88,6,6.64,1329,10.71,1.75,14.96,6.46,60,785,snohomish,-122.001872,47.964564
No,2015,1072,49,-86,160,-0.48,2908,5.93,-2.81,9.93,1.94,105,677,whatcom,-121.639968,48.806739
Yes,2015,284,67,-73,23,5.86,1441,10.06,1.02,14.45,5.68,60,831,king,-121.925974,47.773293
Yes,2015,469,-98,14,6,3.81,3418,8.4,-1.08,12.98,3.83,64,846,king,-121.586655,47.664568
No,2015,111,89,-44,2,3.53,206,12.19,-1.81,18.71,5.68,230,1816,franklin,-119.080304,46.221069
No,2015,180,-100,0,2,3.33,241,11.72,-1.96,18.15,5.29,225,1732,walla_walla,-118.902076,46.182926
No,2015,434,19,98,5,3.34,261,10.83,-2.59,16.54,5.13,199,1435,benton,-119.045812,46.057814
No,2015,610,58,-81,20,2.28,284,10.1,-3.27,15.94,4.26,252,1423,yakima,-120.276603,46.105598
No,2015,651,96,24,97,1.7,351,8.67,-4.65,14.75,2.6,141,1249,kittitas,-120.57645,46.934276
Yes,2015,1084,-98,-14,114,1.22,2564,5.94,-2.91,10.4,1.48,88,673,lewis,-121.925649,46.682675
No,2015,729,25,-96,9,1.05,324,7.84,-5.9,14.38,1.3,98,1322,lincoln,-118.564352,47.712019
No,2015,683,96,-26,10,1.41,331,8.32,-5.17,14.58,2.07,124,1316,lincoln,-118.358856,47.517355
Yes,2015,628,-71,69,143,4.78,2447,8.35,-0.44,12.69,4.01,55,730,king,-121.863515,47.277356
No,2015,19,89,-44,3,7.09,1106,11.56,2.28,16.15,6.97,64,940,king,-121.929014,47.622465
No,2015,80,99,-1,15,6.94,1110,11.26,2.05,15.79,6.72,60,905,king,-122.120687,47.645582
No,2015,978,98,-14,115,-0.74,415,6.28,-8.34,12.76,-0.19,119,1217,okanogan,-118.909019,48.796744
No,2015,366,-43,90,21,2.51,266,10.46,-3.28,17.12,3.8,182,1632,franklin,-118.76604,46.554348
No,2015,164,0,-100,5,2.85,212,11.89,-2.44,18.51,5.27,262,1896,benton,-119.455304,46.522216
No,2015,337,-84,-52,7,2.61,219,11.01,-2.92,17.32,4.7,241,1648,benton,-119.80571,46.494732
No,2015,397,9,-99,10,2.9,244,10.86,-2.75,16.82,4.9,225,1547,benton,-119.609673,46.311483
No,2015,572,-6,99,12,1.44,282,9.01,-4.81,15.51,2.52,144,1450,lincoln,-118.714871,47.502337
No,2015,613,61,-78,12,1.44,298,8.78,-4.83,15.22,2.36,139,1404,lincoln,-118.519634,47.38888
No,2015,81,0,0,0,3.55,205,11.98,-1.89,18.73,5.23,172,1784,benton,-119.712199,45.85994
Yes,2015,1190,-42,-90,140,0.14,998,5.95,-5.35,10.93,0.96,125,907,kittitas,-120.785729,47.35545
Yes,2015,625,98,14,15,1.84,706,8.02,-4.55,13.8,2.25,116,1143,kittitas,-120.811266,47.228077
No,2015,447,54,83,63,0.1,357,8.86,-7,15.58,2.14,196,1584,okanogan,-120.030448,48.132568
Yes,2015,1669,-72,68,120,-3.56,1143,4.76,-7.04,9.56,-0.03,216,925,chelan,-120.239314,48.090915
No,2015,335,70,70,1,1.39,614,10.08,-4.25,16.15,4.01,209,1568,chelan,-120.616041,48.212853
Yes,2015,1142,-98,-17,106,0.95,966,6.8,-5.04,12.65,0.95,73,1191,kittitas,-121.088733,47.012199
Yes,2015,1005,-8,99,81,3.1,2325,7.04,-2.44,11.72,2.36,57,772,king,-121.660214,47.206376
No,2015,702,-70,70,4,0.67,302,8.65,-5.82,14.45,2.84,200,1361,douglas,-119.318176,47.997789
No,2015,723,-70,-70,7,0.53,293,8.39,-6.3,14.48,2.3,183,1386,grant,-119.112893,47.810773
Yes,2015,1645,-94,-32,59,-3.44,643,4,-8.31,8.66,-0.66,198,805,okanogan,-119.062233,48.663989
Yes,2015,399,-97,22,33,1.33,596,9.72,-4.76,16.12,3.32,186,1556,chelan,-120.656821,47.566362
No,2015,2337,-96,24,131,-6.47,1474,-0.37,-8.85,3.95,-4.71,138,493,chelan,-120.861516,47.560517
Yes,2015,1928,88,46,39,-4.51,749,2.18,-9.57,7.09,-2.73,115,684,okanogan,-120.014922,48.890794
Yes,2015,1801,-62,78,32,-3.84,765,2.9,-8.71,7.85,-2.05,114,756,okanogan,-119.979798,48.719065
Yes,2016,1486,-94,-32,76,-1.35,2649,4.43,-4.21,8.1,0.75,112,601,whatcom,-121.686571,48.995131
Yes,2015,1730,-87,-48,147,-2.61,1786,2.79,-6.73,7.38,-1.8,129,554,pierce,-121.451893,46.978772
No,2015,543,44,-89,5,1.19,254,9.49,-5.12,15.87,3.1,199,1524,grant,-119.090012,47.644499
No,2015,494,99,9,15,1.29,245,9.73,-4.88,16.14,3.32,204,1567,grant,-119.246828,47.513444
No,2015,322,88,46,7,2.18,204,10.45,-4.06,16.96,3.95,204,1618,grant,-119.343495,46.973986
Yes,2015,962,-29,-95,107,-0.24,575,7.88,-4.81,12.61,3.15,266,1135,chelan,-120.339879,47.581304
No,2015,640,35,93,35,2.25,437,9.34,-3.15,15.5,3.17,149,1340,whitman,-117.60582,47.066638
No,2015,627,-71,69,32,2.08,459,9.52,-2.98,15.83,3.22,143,1408,whitman,-117.587714,46.903227
Yes,2015,1093,99,4,53,0.04,953,5.45,-7.96,12.15,-1.24,62,1069,pend_oreille,-117.413693,48.375648
Yes,2015,1392,33,94,73,-3.44,583,3.9,-9.47,9.47,-1.66,136,937,okanogan,-119.922225,48.568742
Yes,2016,1429,-86,50,93,-1.98,468,5.89,-6.17,10.44,1.33,225,916,okanogan,-119.732284,48.469104
Yes,2015,1408,55,82,57,-2.76,572,5.2,-7.83,10.42,-0.02,182,1017,okanogan,-119.929974,48.422354
No,2015,216,-31,-94,15,2.64,191,11.43,-3.36,17.94,4.92,249,1736,grant,-119.513225,46.8429
No,2015,594,-93,-34,52,1.32,294,9.01,-4.31,15.09,2.93,201,1373,yakima,-120.711297,46.748855
No,2015,509,96,-26,3,1.61,233,9.56,-4.46,16.1,3.02,167,1529,grant,-119.043356,47.319951
No,2015,406,-90,-42,4,1.61,230,10.06,-4.6,16.71,3.42,199,1621,grant,-119.223667,47.351576
No,2015,468,-5,-99,48,2.11,220,10.44,-3.6,16.12,4.75,288,1538,grant,-119.676527,46.792997
No,2015,513,86,-49,33,1.87,239,10.13,-4.67,15.6,4.65,266,1437,grant,-119.926617,47.311261
Yes,2015,583,-38,-92,109,1.12,528,9.76,-4.98,15.54,3.98,245,1499,chelan,-120.493638,47.545048
No,2015,188,0,0,0,1.75,228,11.27,-3.51,17.34,5.19,302,1722,chelan,-120.321194,47.456847
Yes,2015,787,-17,98,116,0.88,654,8.77,-5.15,14.03,3.52,225,1272,chelan,-120.495058,47.400757
Yes,2015,1101,10,-99,29,-1.15,461,6.84,-7.1,12.25,1.43,219,1161,okanogan,-119.906604,48.244445
No,2015,544,-83,55,8,1.54,514,8.67,-5.01,15.52,1.82,88,1448,stevens,-117.871869,47.90242
No,2015,531,-91,39,13,2.61,455,11.05,-1.81,17.22,4.87,217,1595,garfield,-117.553987,46.579875
No,2015,392,-87,-48,5,0.87,317,9.6,-6.04,15.96,3.25,236,1596,okanogan,-119.886227,48.076529
Yes,2015,1537,99,0,33,-1.58,670,4.87,-6.06,9.22,0.53,216,715,chelan,-120.297686,47.269107
No,2015,589,88,-47,7,1.59,383,9.03,-4.42,15.75,2.33,123,1454,adams,-117.970058,47.208731
No,2015,358,94,31,1,1.97,215,10.16,-4.23,16.65,3.67,198,1581,grant,-119.176802,47.030698
No,2015,340,0,-100,5,3.02,241,10.9,-2.3,17.12,4.69,186,1561,benton,-119.395009,46.029732
No,2015,583,-62,77,40,2.68,502,10.89,-1.85,16.07,5.72,278,1395,columbia,-118.22861,46.38252
No,2015,390,35,-93,10,2.29,229,10,-3.88,16.46,3.54,164,1496,adams,-118.978652,46.834476
No,2015,338,89,44,2,2.28,214,10.3,-3.82,16.75,3.85,187,1565,adams,-119.160161,46.866335
No,2015,670,-95,-28,19,1.17,347,8.53,-5.11,14.78,2.29,154,1335,kittitas,-120.416358,47.083996
No,2015,539,35,93,9,1.33,270,9.22,-4.83,15.75,2.7,163,1494,lincoln,-118.894807,47.539982
No,2015,1095,-53,-84,47,-1.21,427,7.34,-5.88,12.28,2.41,257,1161,chelan,-120.033777,47.938842
No,2015,848,91,39,8,-0.34,315,7.58,-7.48,13.38,1.77,193,1273,douglas,-119.820422,47.76521
Yes,2015,1387,2,99,86,-0.25,1530,4.96,-5.03,9.68,0.24,102,764,yakima,-121.398302,46.529886
Yes,2015,1470,-83,-55,52,-0.24,2109,4.66,-3.89,8.83,0.48,107,575,lewis,-121.744966,46.484304
No,2015,527,-82,56,18,2.04,400,9.55,-3.64,16.14,2.97,136,1470,whitman,-117.792477,47.097101
No,2015,522,-91,41,11,1.94,384,9.59,-3.63,16.27,2.91,135,1492,whitman,-117.944797,47.049536
Yes,2015,1001,-33,-94,20,-0.56,431,6.57,-7.93,12.54,0.61,153,1170,okanogan,-118.8514,48.452841
Yes,2015,966,25,96,33,0.07,536,7.26,-6.82,12.87,1.65,186,1191,ferry,-118.62947,48.355373
Yes,2015,1216,-68,-72,83,0.11,477,7.21,-5.71,11.54,2.89,249,1019,ferry,-118.631406,48.206633
No,2015,359,-92,-36,61,1.44,355,9.7,-5.08,15.68,3.72,214,1467,okanogan,-119.485002,48.956422
Yes,2015,417,3,-99,66,3.52,3103,9.23,0.28,13.37,5.1,84,748,skagit,-121.722484,48.456055
No,2015,1417,-85,51,285,-0.99,3018,5.45,-3.67,9.61,1.29,120,709,whatcom,-121.41343,48.792003
No,2015,599,68,72,55,2.47,258,10.54,-2.92,16.18,4.9,272,1449,yakima,-120.433535,46.291159
Yes,2015,440,-67,-73,34,4.32,2081,8.51,-1.24,12.92,4.1,47,737,whatcom,-122.178325,48.903874
Yes,2015,1142,-63,-77,65,-0.92,434,5.9,-7.71,11.28,0.51,173,1025,okanogan,-118.931403,48.984889
Yes,2015,1234,99,-5,196,-0.4,3518,5.07,-4.25,9.37,0.77,96,627,snohomish,-121.45473,48.011287
Yes,2015,699,-82,-56,104,1.89,1916,8.02,-2.92,14.21,1.84,57,1181,skamania,-121.68182,46.344395
Yes,2015,850,32,94,47,0.6,548,7.59,-6,13.44,1.75,142,1247,ferry,-118.160104,48.675659
No,2015,458,-92,38,52,2.59,419,11.11,-1.97,16.85,5.37,257,1546,columbia,-118.052374,46.447088
No,2015,620,32,-94,33,2.35,496,10.63,-2.11,15.86,5.41,266,1365,columbia,-118.0258,46.395478
No,2015,292,-39,91,2,2.66,230,10.71,-3.08,17.21,4.21,188,1626,franklin,-119.111267,46.543306
No,2015,525,22,97,11,1.41,241,8.72,-5.87,15.49,1.95,132,1365,kittitas,-120.395764,46.906016
No,2015,463,-65,75,44,0.69,312,9.27,-6.29,15.63,2.91,218,1560,okanogan,-119.578597,48.417292
Yes,2016,756,-99,-7,190,0.42,2014,7.14,-3.11,11.7,2.58,152,896,whatcom,-121.052428,48.654556
No,2015,2023,-67,-74,308,-5.51,2017,0.44,-8.85,4.95,-4.08,92,535,skagit,-120.857715,48.556721
Yes,2015,1085,-42,-90,72,2.35,3243,6.82,-1.44,10.46,3.18,64,574,skagit,-122.121731,48.573737
No,2015,78,-31,94,3,6.32,1378,10.51,0.95,15.27,5.76,41,842,skagit,-122.31747,48.596521
Yes,2015,410,-92,-38,81,4.3,2133,9.15,-0.03,13.25,5.05,72,739,skagit,-122.201121,48.575422
Yes,2015,820,98,15,31,1.16,634,8.36,-4.98,13.9,2.83,178,1260,stevens,-117.721808,47.896638
No,2015,439,-52,84,33,2.54,270,10.44,-3.27,16.81,4.08,184,1578,franklin,-118.610458,46.690499
No,2015,569,91,-41,28,2.34,406,9.83,-2.61,15.61,4.05,211,1343,klickitat,-120.553063,45.772022
Yes,2015,982,-16,-98,82,0.73,583,7.77,-5.77,12.91,2.64,217,1146,stevens,-118.093731,48.339407
Yes,2015,1898,65,-75,66,-3.76,971,2.43,-8.28,7.08,-2.21,110,645,okanogan,-120.356717,48.727623
No,2015,716,42,90,37,1.4,271,9.64,-3.75,15.34,3.95,271,1420,yakima,-119.99537,46.606168
No,2015,570,-22,-97,41,2.62,565,9.51,-2.53,15.48,3.54,161,1310,klickitat,-121.081763,45.936204
Yes,2015,435,98,-16,117,2.98,477,10.21,-2.1,16.57,3.85,155,1455,klickitat,-121.077544,45.78645
Yes,2016,1852,-47,88,165,-3.91,1848,2.77,-7.46,7.15,-1.6,134,650,chelan,-120.823517,48.250349
Yes,2015,1314,-99,6,94,-2.16,2055,4.79,-7.18,9.81,-0.22,138,876,chelan,-120.762752,48.048348
No,2015,920,47,87,53,-0.53,325,7.42,-5.94,12.45,2.4,240,1153,douglas,-119.946592,47.471081
No,2015,503,-35,-93,10,1.61,216,9.82,-4.9,15.69,3.96,235,1477,grant,-119.74505,47.280172
Yes,2015,758,-78,-62,105,0.78,370,8.81,-5.31,14.65,2.98,209,1381,ferry,-118.61767999999999,48.036513
No,2015,809,72,-68,25,0.8,338,8.53,-5.23,14.1,2.97,202,1289,lincoln,-118.592414,47.875134
No,2015,241,-70,-70,1,2.09,200,10.76,-3.64,17.78,3.75,213,1709,yakima,-120.315032,46.428848
Yes,2015,1377,56,82,116,-1.58,888,5.62,-6.98,10.2,1.04,180,903,okanogan,-120.514188,48.580786
Yes,2015,1270,23,-97,129,-0.78,2359,5.07,-4.06,9.28,0.87,127,691,snohomish,-121.239866,47.831712
Yes,2009,826,-63,77,29,1.14,784,7.45,-6.07,13.65,1.26,87,1223,stevens,-117.584206,48.040494
Yes,2009,709,-99,-11,6,1.07,682,7.61,-5.82,14.22,1,77,1285,pend_oreille,-117.216491,48.064962
Yes,2009,133,72,69,60,5.49,1371,10.2,0.17,15.31,5.09,55,893,snohomish,-121.948113,48.256903
Yes,2009,1287,66,-74,202,1.32,3860,5.64,-2.6,9.18,2.09,64,502,skagit,-121.780601,48.309133
Yes,2009,941,17,-98,83,0.21,656,6.92,-6.73,13.26,0.58,107,1218,stevens,-117.567761,48.187883
Yes,2009,1122,-18,98,71,-1.59,3021,4.98,-5.36,9.14,0.82,135,727,whatcom,-121.344845,48.953181
Yes,2009,612,-1,99,169,1.88,2008,8.38,-2.02,12.92,3.84,114,899,whatcom,-121.257665,48.658455
Yes,2009,707,-18,98,35,2.18,844,8.5,-3.07,14.49,2.51,119,1162,klickitat,-121.231744,45.980568
Yes,2009,1775,86,-49,168,-3.14,2609,3.41,-6,7.58,-0.76,143,632,snohomish,-121.190952,48.15957
Yes,2009,309,-88,46,20,5.96,1364,10.02,0.77,14.9,5.15,33,915,pierce,-122.037582,47.109671
No,2009,51,35,-93,7,6.61,1612,10.84,1.67,15.89,5.81,38,918,mason,-123.118055,47.184215
Yes,2010,590,41,91,213,4.99,4192,9.3,0.63,13.68,4.93,83,750,mason,-123.38368,47.534293
Yes,2009,1183,46,88,209,1.46,2389,5.93,-2.89,9.98,1.89,109,643,skamania,-122.09931,46.342083
Yes,2009,81,4,99,20,6.34,2455,10.3,1.35,15.62,4.99,24,856,pacific,-123.53054,46.538126
Yes,2009,241,-99,10,18,5.89,1694,10.29,0.47,15.86,4.71,30,1007,lewis,-122.636876,46.59556
